pot,plant,experiment,nematode,foliage,root,month,bait
10,tobacco,1,720,positive,positive,4,no
11,burbank,1,120,negative,negative,4,yes
12,burbank,1,90,negative,positive,4,yes
13,burbank,1,192,negative,negative,4,yes
14,castle,1,360,negative,negative,4,yes
15,castle,1,30,negative,negative,4,yes
16,castle,1,20,negative,negative,4,yes
17,castle,1,720,negative,negative,4,yes
18,castle,1,1080,negative,negative,4,yes
19,castle,1,252,negative,negative,4,yes
20,castle,1,30,negative,negative,4,yes
21,castle,1,0,negative,negative,4,yes
22,alfalfa,1,18,negative,negative,4,yes
23,alfalfa,1,120,negative,negative,4,yes
24,alfalfa,1,0,negative,negative,4,yes
25,alfalfa,1,630,negative,negative,4,yes
26,alfalfa,1,1512,negative,negative,4,yes
27,tobacco,1,420,negative,positive,4,no
28,tobacco,1,480,positive,positive,4,no
29,tobacco,1,1080,positive,positive,4,no
30,tobacco,1,720,positive,positive,4,no
31,tobacco,1,546,negative,positive,4,no
32,burbank,1,10,positive,positive,4,yes
33,burbank,1,30,positive,positive,4,yes
34,burbank,1,15,negative,negative,4,yes
35,castle,1,450,negative,negative,4,yes
36,castle,1,480,negative,negative,4,yes
37,castle,1,15,negative,negative,4,yes
38,castle,1,1680,negative,negative,4,yes
39,castle,1,360,negative,negative,4,yes
40,castle,1,900,negative,negative,4,yes
41,castle,1,1800,negative,negative,4,yes
42,castle,1,810,negative,negative,4,yes
1,tobacco,2,5,positive,positive,1,no
2,tobacco,2,60,positive,positive,1,no
3,tobacco,2,90,positive,positive,1,no
4,tobacco,2,15,positive,positive,1,no
5,tobacco,2,10,negative,positive,1,no
6,alfalfa,2,0,negative,negative,1,no
7,alfalfa,2,10,negative,negative,1,no
8,alfalfa,2,0,negative,negative,1,no
9,alfalfa,2,0,negative,negative,1,no
10,alfalfa,2,10,negative,negative,1,no
11,burbank,2,112,negative,positive,1,no
12,burbank,2,37,negative,positive,1,no
13,burbank,2,62,positive,positive,1,no
14,burbank,2,50,negative,positive,1,no
15,burbank,2,75,negative,positive,1,no
16,castle,2,37,negative,negative,1,no
17,castle,2,10,negative,negative,1,no
18,castle,2,10,negative,negative,1,no
19,castle,2,10,negative,negative,1,no
20,castle,2,10,negative,negative,1,no
1,tobacco,2,180,positive,positive,2,no
2,tobacco,2,720,positive,positive,2,no
3,tobacco,2,270,positive,positive,2,no
4,tobacco,2,990,positive,positive,2,no
5,tobacco,2,1440,positive,positive,2,no
6,alfalfa,2,90,positive,positive,2,yes
7,alfalfa,2,90,positive,positive,2,yes
8,alfalfa,2,270,positive,positive,2,yes
9,alfalfa,2,450,positive,positive,2,yes
10,alfalfa,2,180,positive,positive,2,yes
11,burbank,2,540,positive,positive,2,yes
12,burbank,2,180,positive,positive,2,yes
13,burbank,2,990,positive,positive,2,yes
14,burbank,2,90,positive,positive,2,yes
15,burbank,2,645,positive,positive,2,yes
16,castle,2,900,positive,positive,2,yes
17,castle,2,180,positive,positive,2,yes
18,castle,2,90,positive,positive,2,yes
19,castle,2,80,positive,positive,2,yes
20,castle,2,170,positive,positive,2,yes
21,alfalfa,2,45,positive,positive,2,no
22,alfalfa,2,90,negative,negative,2,no
23,alfalfa,2,0,negative,positive,2,no
24,alfalfa,2,0,negative,negative,2,no
25,alfalfa,2,0,positive,negative,2,no
26,burbank,2,180,positive,positive,2,no
27,burbank,2,15,positive,positive,2,no
28,burbank,2,90,positive,positive,2,no
29,burbank,2,90,negative,positive,2,no
30,burbank,2,90,positive,positive,2,no
31,castle,2,0,positive,negative,2,no
32,castle,2,0,negative,negative,2,no
33,castle,2,90,positive,negative,2,no
34,castle,2,0,negative,negative,2,no
35,castle,2,90,negative,negative,2,no
1,tobacco,2,480,positive,positive,3,no
2,tobacco,2,300,positive,positive,3,no
3,tobacco,2,2160,positive,positive,3,no
4,tobacco,2,660,positive,positive,3,no
5,tobacco,2,240,positive,positive,3,no
6,alfalfa,2,0,positive,negative,3,yes
7,alfalfa,2,80,negative,negative,3,yes
8,alfalfa,2,20,positive,positive,3,yes
9,alfalfa,2,0,positive,negative,3,yes
10,alfalfa,2,0,negative,negative,3,yes
11,burbank,2,40,positive,positive,3,yes
12,burbank,2,120,positive,positive,3,yes
13,burbank,2,60,positive,positive,3,yes
14,burbank,2,300,positive,positive,3,yes
15,burbank,2,120,positive,positive,3,yes
16,castle,2,60,positive,negative,3,yes
17,castle,2,60,negative,negative,3,yes
18,castle,2,300,negative,negative,3,yes
19,castle,2,120,negative,negative,3,yes
20,castle,2,60,negative,positive,3,yes
21,alfalfa,2,0,negative,negative,3,no
22,alfalfa,2,30,negative,negative,3,no
23,alfalfa,2,0,negative,negative,3,no
24,alfalfa,2,0,negative,negative,3,no
25,alfalfa,2,0,negative,negative,3,no
26,burbank,2,130,positive,positive,3,no
27,burbank,2,10,negative,positive,3,no
28,burbank,2,60,negative,positive,3,no
29,burbank,2,60,negative,positive,3,no
30,burbank,2,60,positive,positive,3,no
31,castle,2,3,negative,negative,3,no
32,castle,2,0,negative,negative,3,no
33,castle,2,60,negative,negative,3,no
34,castle,2,30,negative,negative,3,no
35,castle,2,5,negative,negative,3,no
1,alfalfa,2,1,negative,negative,4,yes
2,alfalfa,2,240,negative,negative,4,yes
3,alfalfa,2,2,negative,negative,4,yes
4,alfalfa,2,0,negative,positive,4,yes
5,alfalfa,2,0,negative,negative,4,yes
6,tobacco,2,264,positive,positive,4,no
7,tobacco,2,240,positive,positive,4,no
8,tobacco,2,150,positive,positive,4,no
9,tobacco,2,225,positive,negative,4,no
10,tobacco,2,75,positive,positive,4,no
11,burbank,2,65,positive,positive,4,yes
12,burbank,2,750,positive,positive,4,yes
13,burbank,2,480,positive,positive,4,yes
14,burbank,2,40,positive,positive,4,yes
15,burbank,2,120,positive,positive,4,yes
16,castle,2,38,negative,negative,4,yes
17,castle,2,240,negative,negative,4,yes
18,castle,2,10,negative,negative,4,yes
19,castle,2,150,negative,negative,4,yes
20,castle,2,0,negative,negative,4,yes
